Year,Month,Day,MHD,MLO,SMO,CGO,MHD2,MLO2,SMO2,CGO2
2014,1,16,1899.61,1840.74,1779.05,1755.28,1907.975,1844.0125,1782.5,1761.5625
2014,2,16,1896.42,1831.11,1775,1751.67,1907.15,1836.675,1778.6625,1761.5875
2014,3,16,1901.3,1846.96,1773.03,1756.47,1912.875,1839.3375,1781.9625,1765.1625
2014,4,16,1908.79,1855.53,1769.44,1762.62,1931.1625,1873.8,1767.825,1770.525
2014,5,16,1900.09,1844.28,1772.71,1769.84,1929.65,1862.1125,1771.475,1775.6875
2014,6,16,1881.56,1831.43,1782.67,1779.87,1904.3625,1859.95,1780.925,1784.5125
2014,7,16,1875.44,1818.93,1790.53,1787.51,1911.5,1833.8125,1787.1375,1793.2125
2014,8,16,1883.17,1824.36,1790.95,1790.58,1924.4125,1837.9,1785.4875,1795.5
2014,9,16,1898.05,1840.96,1787.43,1792.47,1953.0625,1842.825,1780.5625,1795.175
2014,10,16,1907.09,1844.05,1786.65,1791.88,1926.0375,1858.3875,1780.2375,1792.225
2014,11,16,1906.44,1854.85,1784.14,1786.87,1949,1880.15,1774.3,1785.6
2014,12,16,1914.98,1863.8,1783.34,1780.16,1923.5,1890.8125,1784.5625,1777.3125
2015,1,16,1919.7,1853.44,1788.69,1772.25,1924.0375,1868.4125,1798.0375,1772.1125
2015,2,16,1914.85,1848.78,1792.59,1766.43,1921.575,1859.9375,1799.175,1770.85
2015,3,16,1914.13,1858.28,1791.27,1766.94,1932.9875,1880.725,1800.675,1773.475
2015,4,16,1911.85,1866.25,1785.07,1773.34,1939.5875,1886.55,1786.8,1778.4625
2015,5,16,1905.46,1862.28,1783.1,1780.08,1924.1125,1890.9125,1782.85,1787.5
2015,6,16,1893.69,1844.51,1791.18,1787.63,1915.4875,1867.125,1790.5625,1797.575
2015,7,16,1885.7,1831.97,1797.51,1796.62,1913.5,1846.975,1797.3625,1803.225
2015,8,16,1893.78,1827.63,1800.59,1801.28,1923.175,1832.45,1800.875,1807.4
2015,9,16,1911.33,1840.31,1800.39,1802.84,1945.4875,1847.2375,1796.825,1808.325
2015,10,16,1917.05,1860.37,1796.82,1802.52,1940.425,1855.4375,1792.75,1804.325
2015,11,16,1908.85,1866.23,1789.88,1797.61,1929.85,1892.3625,1781.925,1797.0125
2015,12,16,1917.09,1863.4,1788.36,1788.27,1930.2625,1897.9,1789.15,1788.675
